paragraph,txt,chapter,type
75,"Om de onafhankelijkheid van de pers op lokaal niveau beter te waarborgen, hevelen we de financiering hiervan over van het Gemeentefonds naar landelijke financiering en investeren we extra.",1. Democratische rechtsorde,txt
76,Binnen een jaar worden naast de voorwaarden voor de leden aantallen de nieuwe toelatings- en verantwoordingscriteria vastgesteld om de maatschappelijke worteling en kwaliteit van omroepen beter te borgen.,1. Democratische rechtsorde,txt
77,"We spannen ons in om het “Geheugen van Nederland” te realiseren, door het archiefmateriaal van Beeld en Geluid af te kopen en zoveel mogelijk rechtenvrij beschikbaar te stellen.",1. Democratische rechtsorde,txt
78,"Programma’s van de Nederlandse Publieke Omroep worden zoveel als mogelijk toegankelijk voor mensen met een audiovisuele beperking. Hierbij zal gebruik gemaakt worden van onder andere audiodescriptie, gebarentolken en (gesproken) ondertiteling.",1. Democratische rechtsorde,txt
79,In totaal investeren we €30 mln structureel in media.,1. Democratische rechtsorde,txt
80,"Een betere toekomst voor het hele Koninkrijk In het Koninkrijk delen we een verleden én een toekomst. Een toekomst die we samen vormgeven. Na tien jaar economische stagnatie en de klappen van een orkaan en een pandemie wil Nederland de drie Caribische landen ondersteunen bij het inslaan van een pad naar duurzame groei. We doen dat zoals bedoeld in het Statuut: op basis van gelijkwaardigheid, wederkerigheid en aan de hand van een eerlijke verkenning over wensen tot eventuele aanpassing van het Statuut. In Caribisch Nederland blijven we ons inspannen om Bonaire, Saba en Sint Eustatius een gelijkwaardig deel van Nederland te laten zijn.",1. Democratische rechtsorde,txt
81,"Bonaire, Saba en Sint Eustatius",1. Democratische rechtsorde,txt
82,"We versterken de arbeidsmarkt van Caribisch Nederland (Bonaire, Saba en Sint Eustatius), met speciale aandacht voor de positie van jongeren, en pakken de armoede aan. Het Akkoord van Kralendijk is het uitgangspunt voor Bonaire. We stimuleren een sociale dialoog op Saba en Sint Eustatius.",1. Democratische rechtsorde,txt
83,We maken heldere afspraken met de bijzondere gemeenten om ervoor te zorgen dat de financiering van basisvoorzieningen structureel op orde is.,1. Democratische rechtsorde,txt
84,"We investeren in de economie van Caribisch Nederland en nemen maatregelen om het leven betaalbaarder te maken. We geven invulling aan de herijking van het sociaal minimum. Dit doen we onder meer door het verhogen van de onderstand, het betaalbaar houden van nutsvoorzieningen en een versnelde overstap op volledig duurzame energie, riolering en een betere drinkwatervoorziening zodat de vaste lasten voor nutsvoorzieningen dalen. We ondersteunen projecten voor meer lokale landbouw zodat er minder voedselimport nodig is en we benutten de enorme kansen voor meer ecotoerisme.",1. Democratische rechtsorde,txt
85,"We gaan de unieke cultuur en natuur van Bonaire, Saba en Sint Eustatius, zowel boven als onder water, beter beschermen.",1. Democratische rechtsorde,txt
86,In totaal investeren we €30 miljoen structureel.,1. Democratische rechtsorde,txt
87,"Aruba, Curaçao en Sint Maarten",1. Democratische rechtsorde,txt
88,"Aruba, Curaçao en Sint Maarten, de drie andere landen in het Koninkrijk, zijn staatkundig autonoom en hebben een eigen verantwoordelijkheid voor goed bestuur en deugdelijke overheidsfinanciën. De relaties tussen de drie landen en Nederland zijn mede gebaseerd op wederkerigheid. Er is, onder meer door de coronapandemie en zijn gevolgen, een urgente noodzaak om te komen tot versterking en verbetering van de deugdelijkheid van bestuur en de overheidsfinanciën in de drie landen.",1. Democratische rechtsorde,txt
89,"We blijven ons vanuit Nederland inspannen om samen met Aruba, Curaçao en Sint Maarten te werken aan goed bestuur, de aanpak van corruptie en het duurzaam versterken van de economieën en onderwijs aan de hand van duurzame afspraken.",1. Democratische rechtsorde,txt
90,We willen het democratisch tekort bij de besluitvorming door de Tweede Kamer over voorstellen van rijkswet opheffen door ruimte te geven voor een proportionele stem van de Caribische landen.,1. Democratische rechtsorde,txt
91,"We maken het voor stemgerechtigde inwoners van Aruba, Curaçao en Sint Maarten bij verkiezingen voor het Europees Parlement net zo toegankelijk om te stemmen als in Europees Nederland.",1. Democratische rechtsorde,txt
92,"We gaan rendabel bijdragen aan de economische ontwikkeling van de Caribische landen door garantieregelingen van de Rijksdienst voor Ondernemend Nederland (RVO), het Nationaal Groeifonds en regelingen voor duurzame energieproductie (SDE++) open te stellen voor aanvragen uit het hele Koninkrijk.",1. Democratische rechtsorde,txt
93,2. Duurzaam land,2. Duurzaam land,txt
94,"Klimaat en energie Klimaatverandering is dé uitdaging voor onze generatie. Goed klimaatbeleid biedt kansen om een duurzame en sterke economie op te bouwen en nieuwe banen te creëren. We maken Nederland klaar voor de toekomst – klimaatneutraal, fossielvrij en circulair – met een schone energievoorziening en groene industriepolitiek. Nederland is een welvarend land dat in de transitie naar een groene economie tot de kopgroep in Europa wil behoren. Zoals onze voorouders gezamenlijk binnenwateren inpolderden en Deltawerken bouwden, zo slaan wij nu de handen ineen om te bouwen aan een groene toekomst. Wij willen ons maximaal inspannen om ons land en onze planeet leefbaar en bewoonbaar te houden. Daarom ook streven we de klimaatdoelstelling van maximaal 1,5 graad van het Klimaatakkoord van Parijs na en willen we biodiversiteit versterken. Dit kabinet wil huishoudens en gemeenschappen, bedrijven en coöperaties en dorpen en steden in staat stellen deze duurzame omslag te maken. We zorgen ervoor dat iedereen mee kan doen, de vervuiler betaalt en dat niemand achterblijft. Zo doen we recht aan de aarde, aan volgende generaties en aan elkaar.",2. Duurzaam land,txt
95,"Nederland wil koploper in Europa zijn bij het tegengaan van de opwarming van de aarde. Om uiterlijk in 2050 klimaatneutraal te zijn, scherpen we het doel voor 2030 in de Klimaatwet aan tot tenminste 55% CO2 reductie. We committeren ons hard aan dit doel en zullen indien nodig extra stappen zetten om dit te realiseren. Om dit doel ook zeker te halen, spreken we af om ons in het beleid te richten op een hogere opgave, wat neerkomt op circa 60% in 2030.",2. Duurzaam land,txt
96,"Ook na 2030 is het nodig om ambitieus door te gaan met CO2 reductie. We zetten in op een reductie van 70% in 2035 en 80% in 2040. Om dit te kunnen realiseren, treffen we in deze kabinetsperiode voorbereidingen voor het invoeren van een systeem van betalen naar gebruik in de automobiliteit in 2030 en voor de bouw van nieuwe kerncentrales. Ook maken we in deze kabinetsperiode onze energie-netwerken toekomstbestendig.",2. Duurzaam land,txt
97,"In de bijlage is de verdeling over de sectoren van de extra emissiereductie voor 2030 opgenomen. Deze verdeling is indicatief, evenals de kosten en opbrengsten. Het is aan het kabinet om te komen tot een integraal pakket dat tot voldoende reductie leidt en oog heeft voor weglekeffecten, uitvoerbaarheid, kosteneffectiviteit en het verdienvermogen van Nederland. Daarvoor zullen ook o.a. de planbureaus worden ingeschakeld, zodat geactualiseerde doorrekeningen kunnen worden gemaakt.",2. Duurzaam land,txt
98,Er komt een minister voor Klimaat en Energie die regie voert over het beleid en het klimaatfonds. We versterken de uitvoeringskracht van het Rijk en de medeoverheden om de transitie te kunnen uitvoeren. Een onafhankelijke wetenschappelijke adviesraad (zoals in het Verenigd Koninkrijk) beoordeelt het beleid en adviseert erover. Met een generatietoets borgen we dat het beleid ontwikkeld wordt vanuit een brede-welvaartsbenadering. We betrekken burgers actief bij het klimaatbeleid.,2. Duurzaam land,txt
99,"Een klimaat- en transitiefonds van €35 mrd voor de komende 10 jaar, aanvullend op de huidige Subsidieregeling Duurzame Energie SDE++, helpt om de benodigde energie-infrastructuur (elektriciteit, warmte, waterstof en CO2) aan te leggen, de groene industriepolitiek te verwezenlijken en de mobiliteit en de gebouwde omgeving te verduurzamen .",2. Duurzaam land,txt
100,"De procedures voor de realisatie van nieuwe grootschalige energie-infrastructurele projecten die van nationaal belang zijn, gaan te traag. We brengen daarin versnelling aan door een aanpak zoals in de Crisis- en Herstelwet (Chw).",2. Duurzaam land,txt
101,Na vaststelling van het “Fit for 55”-pakket door de Europese Unie (EU) wordt het klimaatbeleid herijkt aan de hand van de verwachte effecten op CO2-uitstoot en de betaalbaarheid voor huishoudens en het mkb.,2. Duurzaam land,txt
102,"Een randvoorwaarde voor een ambitieus klimaatbeleid is het hebben van voldoende vakmensen, nu maar ook op weg naar 2050. We gaan met onderwijsinstellingen, overheden, en sociale partners aan de slag om vakmensen op te leiden en, waar nodig, om of bij te scholen.",2. Duurzaam land,txt
103,"Industrie en bedrijfsleven De industrie van de toekomst draait op schone energie en op biogrondstoffen en maakt circulaire producten. Het is onze ambitie in de kopgroep te zitten van deze transitie naar een groene industrie. Daarvoor is een groene industriepolitiek nodig. Dat is een aanpak van wederkerigheid tussen overheden, bedrijfsleven en samenleving. Niet op basis van vrijblijvendheid, maar op basis van stevige, bindende maatwerkafspraken zorgen we ervoor dat de Nederlandse industrie in Europa en wereldwijd de duurzame norm stelt. Daarmee versterken we het vestigingsklimaat en behouden we duurzame werkgelegenheid voor Nederland.",2. Duurzaam land,txt
104,"We gaan in de industrie de ambitie verhogen. In principe kijken we bij de hogere nationale ambities eerst naar reductie in de ETS-sectoren, naast onze ‘Fit-for-55’ verplichtingen.",2. Duurzaam land,txt
105,"We maken bindende maatwerkafspraken met de 10 tot 20 grootste uitstoters van broeikasgassen. We houden rekening met de samenhang van bedrijven in industrieclusters. Bij maatwerkafspraken is wederkerigheid het uitgangspunt. Dat betekent dat de overheid de nieuwe energie infrastructuur faciliteert en we afspraken maken over ambitieuze verduurzaming. We maken daarnaast ook afspraken over het langjarig blijven investeren in Nederland door deze bedrijven, over mee-investeren in opleidingen, over goed werkgeverschap en over de kwaliteit van de leefomgeving.",2. Duurzaam land,txt
106,"De prikkels voor verduurzaming worden versterkt door het verhogen van de marginale heffing bovenop de prijs in het Europese emissiehandelssysteem (ETS). Om zekerheid te creëren wordt een oplopende bodemprijs voor de ETS-prijs geïntroduceerd, bij voorkeur in samenspraak met de ons omringende landen. Een eventuele financiële meeropbrengst van de marginale heffing en de oplopende bodemprijs vloeit terug in het klimaatfonds voor verduurzaming van bedrijven.",2. Duurzaam land,txt
107,Er wordt extra geïnvesteerd in onderzoek en innovatie van klimaat neutrale technologieën. De nadruk ligt daarbij op grote samenhangende programma’s die ook bijdragen aan het betaalbaar houden van de energietransitie. Er komt een ambitieus klimaatdoel voor de circulaire economie en een uitvoeringsprogramma. De overheid neemt hier een voorbeeldrol in. We zorgen voor een betere aansluiting tussen klimaatbeleid en circulariteit.,2. Duurzaam land,txt
108,We helpen het mkb met verduurzamen. We zorgen voor inzicht in en advies over de stappen die het mkb kan zetten. We stimuleren verduurzaming en versimpelen de regelingen voor ondernemers. Toekomstig klimaatbeleid toetsen we op de effecten op het mkb.,2. Duurzaam land,txt
109,"We zorgen voor een schone en gezonde leefomgeving door het steviger aanpakken van milieucriminaliteit en milieurisico’s. Het rapport van de Adviescommissie Vergunningverlening, Toezicht en Handhaving (commissie-Van Aartsen) wordt hierbij betrokken.",2. Duurzaam land,txt
110,"Energiemix Energie blijven we gebruiken, maar we maken de overstap naar energiebronnen die geen broeikasgassen uitstoten en we zetten in op energiebesparing. Zo werken we na 2030 snel toe naar een volledig klimaat neutrale energievoorziening. Daarmee dringen we snel fossiele brandstoffen terug en borgen tegelijkertijd de leveringszekerheid en betaalbaarheid.",2. Duurzaam land,txt
111,"We stimuleren het aanbod van hernieuwbare energiebronnen, door in te zetten op extra wind op zee, zon-op-dak, aardwarmte, groen gas en aquathermie. Tegelijkertijd schalen we de productie en import van waterstof op.",2. Duurzaam land,txt
112,"We bouwen het gebruik van houtige biomassa voor energiedoeleinden zo snel mogelijk af, waarbij we rekening houden met de kosteneffectiviteit. Biomassa wordt zo hoogwaardig mogelijk ingezet aan de hand van de cascaderingsladder. We staan alleen het gebruik van houtige biomassa die geproduceerd is in de EU toe, zodat we de naleving van duurzaamheidscriteria kunnen monitoren. We zorgen ervoor dat duurzame alternatieven voor warmte versneld worden ontwikkeld.",2. Duurzaam land,txt
113,"Kernenergie kan in de energiemix een aanvulling zijn op zon, wind en geothermie en kan worden ingezet voor de productie van waterstof. Ook maakt het ons minder afhankelijk van de import van gas. Daarom blijft de kerncentrale in Borssele langer open, met uiteraard oog voor de veiligheid. Daarnaast zet dit kabinet de benodigde stappen voor de bouw van 2 nieuwe kerncentrales. Dat betekent onder andere dat wij marktpartijen faciliteren bij hun verkenningen, innovaties ondersteunen, tenders uitzetten, de (financiële) bijdrage van de overheid bezien, wet- en regelgeving waar nodig in orde maken. Ook zorgen we voor veilige, permanente opslag van kernafval.",2. Duurzaam land,txt
